idx,question,db_id,gold_sql,difficulty,lora_sql,lora_correct,dora_sql,dora_correct,complexity_score,complexity_bucket
10,Show all countries and the number of singers in each country.,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",,"SELECT Country ,  count(*) FROM singer GROUP BY Country",True,"SELECT Country ,  COUNT(*) FROM singer GROUP BY Country",True,2,moderate
11,How many singers are from each country?,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",,"SELECT Country ,  count(*) FROM singer GROUP BY Country",True,"SELECT Country ,  COUNT(*) FROM singer GROUP BY Country",True,2,moderate
12,List all song names by singers above the average age.,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),,SELECT T2.song_name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id  =  T2.concert_id JOIN singer AS T3 ON T2.singer_id  =  T3.singer_id WHERE T3.age  >  30,False,SELECT T1.Song_Name FROM concert AS T1 JOIN singer AS T2 ON T1.concert_ID  =  T2.concert_ID JOIN singer_in_concert AS T3 ON T1.concert_ID  =  T3.concert_ID JOIN singer AS T4 ON T3.Singer_ID  =  T4.Singer_ID WHERE T4.Age  >  20,False,2,moderate
13,What are all the song names by singers who are older than average?,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),,SELECT T2.song_name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id  =  T2.concert_id JOIN singer AS T3 ON T2.singer_id  =  T3.singer_id WHERE T3.age  >  T3.average,False,SELECT T2.Song_Name FROM concert AS T1 JOIN singer AS T2 ON T1.concert_ID  =  T2.concert_ID JOIN singer_in_concert AS T3 ON T1.concert_ID  =  T3.concert_ID JOIN singer AS T4 ON T3.Singer_ID  =  T4.Singer_ID WHERE T4.Age  >  10,False,2,moderate
14,Show location and name for all stadiums with a capacity between 5000 and 10000.,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",,"SELECT LOCATION ,  NAME FROM STADIUM WHERE CAPACITY BETWEEN 5000 AND 10000",True,"SELECT Location ,  Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",True,1,moderate
15,What are the locations and names of all stations with capacity between 5000 and 10000?,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",,"SELECT LOCATION ,  NAME FROM STADIUM WHERE CAPACITY BETWEEN 5000 AND 10000",True,"SELECT Location ,  Name FROM stadium WHERE Capacity BETWEEN 5000 AND 10000",True,1,moderate
16,What is the maximum capacity and the average of all stadiums ?,concert_singer,"select max(capacity), average from stadium",,"SELECT max(capacity) ,  avg(capacity) FROM stadium",False,"SELECT max(capacity) ,  avg(highest) FROM stadium",False,1,moderate
17,What is the average and maximum capacities for all stadiums ?,concert_singer,"select avg(capacity) ,  max(capacity) from stadium",,"SELECT avg(capacity) ,  max(capacity) FROM stadium",True,"SELECT avg(capacity) ,  max(capacity) FROM stadium",True,2,moderate
18,What is the name and capacity for the stadium with highest average attendance?,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T2.stadium_id ORDER BY avg DESC LIMIT 1",False,"SELECT T1.Name ,  T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T1.Average  =  (SELECT MAX(T3.Average) FROM stadium AS T3)",True,0,simple
19,What is the name and capacity for the stadium with the highest average attendance?,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T2.stadium_id ORDER BY avg DESC LIMIT 1",False,"SELECT T1.Name ,  T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID ORDER BY T1.Average DESC LIMIT 1",True,0,simple
20,How many concerts are there in year 2014 or 2015?,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,,SELECT count(*) FROM concert WHERE YEAR(concert_ID) BETWEEN 2014 AND 2015,False,SELECT count(*) FROM concert WHERE YEAR(concert_ID)  =  2014 OR YEAR(concert_ID)  =  2015,False,2,moderate
21,How many concerts occurred in 2014 or 2015?,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,,SELECT count(*) FROM concert WHERE YEAR(concert_ID) BETWEEN 2014 AND 2015,False,SELECT count(*) FROM concert WHERE YEAR(concert_ID)  =  2014 OR YEAR(concert_ID)  =  2015,False,2,moderate
22,Show the stadium name and the number of concerts in each stadium.,concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",,"SELECT T1.Name ,  count(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID GROUP BY T1.Stadium_ID",True,"SELECT T1.Name ,  count(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID GROUP BY T1.Stadium_ID",True,3,complex
23,"For each stadium, how many concerts play there?",concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",,"SELECT count(*) ,  T1.Stadium_ID FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID GROUP BY T1.Stadium_ID",False,"SELECT count(*) ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID GROUP BY T1.Location",False,3,complex
24,Show the stadium name and capacity with most number of concerts in year 2014 or after.,concert_singer,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",,"SELECT T1.Name ,  T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  >=  2014 GROUP BY T1.Stadium_ID ORDER BY count(*) DESC LIMIT 1",True,"SELECT T1.Name ,  T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  >=  2014 GROUP BY T1.Stadium_ID ORDER BY count(*) DESC LIMIT 1",True,3,complex
25,What is the name and capacity of the stadium with the most concerts after 2013 ?,concert_singer,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",,"SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T2.year  >  2013 GROUP BY T1.stadium_id ORDER BY count(*) DESC LIMIT 1",True,"SELECT T1.Name ,  T1.Capacity FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  >  2013 GROUP BY T1.Stadium_ID ORDER BY count(*) DESC LIMIT 1",True,3,complex
26,Which year has most number of concerts?,concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,,SELECT year FROM concert GROUP BY year ORDER BY count(*) DESC LIMIT 1,True,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1,True,2,moderate
27,What is the year that had the most concerts?,concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,,SELECT year FROM concert GROUP BY year ORDER BY count(*) DESC LIMIT 1,True,SELECT Year FROM concert GROUP BY Year ORDER BY count(*) DESC LIMIT 1,True,2,moderate
28,Show the stadium names without any concert.,concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID EXCEPT SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID,False,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID EXCEPT SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID,False,1,moderate
29,What are the names of the stadiums without any concerts?,concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID EXCEPT SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID,False,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID EXCEPT SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID,False,1,moderate
30,Show countries where a singer above age 40 and a singer below 30 are from.,concert_singer,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,,SELECT Country FROM singer WHERE Age  >  40 INTERSECT SELECT Country FROM singer WHERE Age  <  30,True,SELECT Country FROM singer WHERE Age  >  40 UNION SELECT Country FROM singer WHERE Age  <  30,False,2,moderate
31,Show names for all stadiums except for stadiums having a concert in year 2014.,concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  !=  2014,False,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID EXCEPT SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2014,False,3,complex
32,What are the names of all stadiums that did not have a concert in 2014?,concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  !=  2014,False,SELECT T1.Name FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  !=  2014,False,3,complex
33,Show the name and theme for all concerts and the number of singers in each concert.,concert_singer,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",,"SELECT T1.concert_name ,  T1.theme ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.concert_name",False,"SELECT T1.concert_Name ,  T2.theme ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T1.concert_Name",False,3,complex
34,"What are the names , themes , and number of singers for every concert ?",concert_singer,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",,"SELECT T1.concert_name ,  T1.theme ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.concert_name",False,"SELECT T1.concert_Name ,  T1.theme ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T1.concert_Name",False,3,complex
35,List singer names and number of concerts for each singer.,concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",,"SELECT T1.name ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.name",False,"SELECT T1.Name ,  count(*) FROM concert AS T1 JOIN singer AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T2.Name",False,3,complex
36,What are the names of the singers and number of concerts for each person?,concert_singer,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",,"SELECT T1.name ,  count(*) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.name",False,"SELECT T1.name ,  count(*) FROM concert AS T1 JOIN singer AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T2.concert_ID",False,3,complex
37,List all singer names in concerts in year 2014.,concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,,SELECT T1.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID WHERE T1.Year  =  2014,False,SELECT T1.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID  =  T3.Singer_ID WHERE T1.Year  =  2014,False,2,moderate
38,What are the names of the singers who performed in a concert in 2014?,concert_singer,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,,SELECT T2.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID  =  T3.Singer_ID WHERE T1.Year  =  2014,False,SELECT T2.Name FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID WHERE T1.Year  =  2014,False,2,moderate
39,what is the name and nation of the singer who have a song having 'Hey' in its name?,concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",,"SELECT T1.name ,  T2.nation FROM singer AS T1 JOIN concert AS T2 ON T1.singer_id  =  T2.singer_id WHERE T1.song_name LIKE '%Hey%'",False,"SELECT T1.Name ,  T1.Country FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID  =  T2.concert_ID WHERE T2.song_name  =  'Hey'",False,0,simple
40,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,concert_singer,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",,"SELECT T2.Name ,  T2.Country FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID JOIN song AS T3 ON T2.concert_ID  =  T3.concert_ID WHERE T3.title LIKE '%Hey%'",False,"SELECT T2.Name ,  T2.Country FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.song_name LIKE '%Hey%'",False,0,simple
41,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,concert_singer,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",,"SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2014 INTERSECT SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2015",True,"SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2014 INTERSECT WHERE T2.Year  =  2015",False,4,complex
42,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,concert_singer,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",,"SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2014 INTERSECT SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2015",True,"SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2014 INTERSECT SELECT T1.Name ,  T1.Location FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Year  =  2015",True,4,complex
43,Find the number of concerts happened in the stadium with the highest capacity .,concert_singer,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),,SELECT count(*) FROM stadium AS T1 JOIN concert AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T1.Capacity  =  (SELECT max(capacity) FROM stadium),True,SELECT count(*) FROM concert WHERE Stadium_ID  =  (SELECT max(capacity) FROM stadium),True,2,moderate
44,What are the number of concerts that occurred in the stadium with the largest capacity ?,concert_singer,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),,SELECT count(*) FROM concert WHERE stadium_id  =  (SELECT stadium_id FROM stadium ORDER BY capacity DESC LIMIT 1),True,SELECT count(*) FROM concert WHERE Stadium_ID  =  (SELECT max(capacity) FROM stadium),True,2,moderate
45,Find the number of pets whose weight is heavier than 10.,pets_1,SELECT count(*) FROM pets WHERE weight  >  10,,SELECT count(*) FROM pets WHERE pet_weight  >  10,False,SELECT count(*) FROM pets WHERE weight  >  10,True,1,moderate
46,How many pets have a greater weight than 10?,pets_1,SELECT count(*) FROM pets WHERE weight  >  10,,SELECT count(*) FROM pets WHERE pet_weight  >  10,False,SELECT count(*) FROM pets WHERE weight  >  10,True,1,moderate
47,Find the weight of the youngest dog.,pets_1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,,SELECT min(T2.weight) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid  =  T2.petid GROUP BY T1.pettype,False,"SELECT weight FROM pets WHERE pet_type  =  ""Dog"" ORDER BY age ASC LIMIT 1",False,0,simple
48,How much does the youngest dog weigh?,pets_1,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,,SELECT min(t2.weight) FROM pets AS t1 JOIN has_pet AS t2 ON t1.petid  =  t2.petid WHERE t1.pettype  =  'Dog',False,SELECT min(T2.weight) FROM Pets AS T1 JOIN Has_pet AS T2 ON T1.petid  =  T2.petid WHERE T1.pettype  =  'Dog',False,0,simple
49,Find the maximum weight for each type of pet. List the maximum weight and pet type.,pets_1,"SELECT max(weight) ,  petType FROM pets GROUP BY petType",,"SELECT max(weight) ,  pet_type FROM Pets GROUP BY pet_type",False,"SELECT max(weight) ,  pet_type FROM Pets GROUP BY pet_type",False,2,moderate
50,List the maximum weight and type for each type of pet.,pets_1,"SELECT max(weight) ,  petType FROM pets GROUP BY petType",,"SELECT max(weight) ,  pet_type FROM Pets GROUP BY pet_type",False,"SELECT max(weight) ,  pet_type FROM Pets GROUP BY pet_type",False,2,moderate
51,Find number of pets owned by students who are older than 20.,pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,,SELECT count(*) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid  =  T2.petid WHERE T1.age  >  20,False,SELECT count(*) FROM pets AS T1 JOIN student AS T2 ON T1.stuID  =  T2.stuID WHERE T2.age  >  20,False,2,moderate
52,How many pets are owned by students that have an age greater than 20?,pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,,SELECT count(*) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid  =  T2.petid WHERE T1.age  >  20,False,SELECT count(*) FROM pets AS T1 JOIN student AS T2 ON T1.stuid  =  T2.stuid WHERE T2.age  >  20,False,2,moderate
53,Find the number of dog pets that are raised by female students (with sex F).,pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',,"SELECT count(*) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid  =  T2.petid WHERE T1.pettype  =  ""dog"" AND T2.sex  =  ""F""",False,SELECT count(*) FROM pets AS T1 JOIN student AS T2 ON T1.petid  =  T2.stuid WHERE T2.sex  =  'F' AND T1.pettype  =  'Dog',False,4,complex
54,How many dog pets are raised by female students?,pets_1,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',,"SELECT count(*) FROM pets AS T1 JOIN has_pet AS T2 ON T1.petid  =  T2.petid WHERE T1.pettype  =  ""Dog"" AND T2.sex  =  ""Female""",False,SELECT count(*) FROM pets AS T1 JOIN student AS T2 ON T1.petid  =  T2.stuid WHERE T2.sex  =  'F' AND T1.pettype  =  'Dog',False,4,complex
55,Find the number of distinct type of pets.,pets_1,SELECT count(DISTINCT pettype) FROM pets,,SELECT count(DISTINCT pet_type) FROM Pets,False,SELECT count(DISTINCT pet_type) FROM Pets,False,1,moderate
56,How many different types of pet are there?,pets_1,SELECT count(DISTINCT pettype) FROM pets,,SELECT count(DISTINCT pet_type) FROM Pets,False,SELECT count(DISTINCT pet_type) FROM Pets,False,1,moderate
57,Find the first name of students who have cat or dog pet.,pets_1,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',,SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'cat' UNION SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'dog',False,"SELECT Fname FROM Student WHERE PetType  =  ""cat"" OR PetType  =  ""dog""",False,3,complex
58,What are the first names of every student who has a cat or dog as a pet?,pets_1,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',,SELECT T1.FNAME FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'cat' UNION SELECT T1.FNAME FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID  =  'dog',False,SELECT T1.Fname FROM Student AS T1 JOIN Has_pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.pet_type  =  'Cat' OR T2.pet_type  =  'Dog',False,3,complex
